Skill_columbia,Explanation_columbia,Related Course_columbia,Credits_columbia,Semester_columbia,Collapsed Skill,Skill_mit,Explanation_mit,Related Course_mit,Credits_mit,Semester_mit
Data manipulation,"Students will gain the skill of manipulating data related to networks and crowds, such as extracting relevant information and performing data cleaning.",ANALYSIS OF NETWORKS & CROWDS,3.0,,Database design,Database design,"Although not explicitly mentioned in the course description, the mention of ""reconfiguration of foldable structures"" and ""applications to robotics, manufacturing, and biology"" suggests that students may need to design and manipulate databases to store and analyze data related to foldable structures and their applications.","6.5310 Geometric Folding Algorithms: Linkages, Origami, Polyhedra
",1.0,Fall 2023
Data manipulation,"Students will gain the skill of manipulating data related to networks and crowds, such as extracting relevant information and performing data cleaning.",ANALYSIS OF NETWORKS & CROWDS,3.0,,Database design,Database design,"Although not explicitly mentioned in the course description, the implementation techniques and case studies in the course may involve the design and manipulation of databases.","6.1600 Foundations of Computer Security
",1.0,Fall 2023
Data manipulation,"Students will gain the skill of manipulating data related to networks and crowds, such as extracting relevant information and performing data cleaning.",ANALYSIS OF NETWORKS & CROWDS,3.0,,Database design,Client-server design,"Students will learn techniques for designing and implementing client-server systems, which involves handling and manipulating data and communication between clients and servers.","6.1800 Computer Systems Engineering
",1.0,Fall 2023
Data manipulation,"Students will gain the skill of manipulating data related to networks and crowds, such as extracting relevant information and performing data cleaning.",ANALYSIS OF NETWORKS & CROWDS,3.0,,Database design,Database search,Students will develop the skill of searching and retrieving information from biological databases.,"6.8701 Computational Biology: Genomes, Networks, Evolution
",1.0,Fall 2023
Data manipulation,"Students will gain the skill of manipulating data related to networks and crowds, such as extracting relevant information and performing data cleaning.",ANALYSIS OF NETWORKS & CROWDS,3.0,,Database design,Data modeling,Students will learn how to manipulate and handle data in order to model and analyze synthetic biological systems.,"6.8720[J] Principles of Synthetic Biology
",1.0,Fall 2023
Data manipulation,"Students will gain the skill of manipulating data related to networks and crowds, such as extracting relevant information and performing data cleaning.",ANALYSIS OF NETWORKS & CROWDS,3.0,,Database design,Database management,Students will acquire the skill to manage and query image databases effectively.,"6.8300 Advances in Computer Vision
",1.0,Fall 2023
Database Management,Students will learn how to design and manage databases.,COMPUTING IN LINGUISTICS,4.0,,Database design,Database management,"Students will develop proficiency in working with databases, including topics such as database design and web services.","6.1040 Software Design
",1.0,Fall 2023
Database Management,Students will learn how to design and manage databases.,COMPUTING IN LINGUISTICS,4.0,,Database design,Database management,Students will learn how to manage databases and manipulate data using SQL.,"6.5150 Large-scale Symbolic Systems
",1.0,Fall 2023
Database Management,Students will learn how to design and manage databases.,COMPUTING IN LINGUISTICS,4.0,,Database design,Database management,Students will learn how to manage and manipulate data in large-scale symbolic systems.,"6.5151 Large-scale Symbolic Systems
",1.0,Fall 2023
Database Management,Students will learn how to design and manage databases.,COMPUTING IN LINGUISTICS,4.0,,Database design,Database design,"Although not explicitly mentioned in the course description, the mention of ""reconfiguration of foldable structures"" and ""applications to robotics, manufacturing, and biology"" suggests that students may need to design and manipulate databases to store and analyze data related to foldable structures and their applications.","6.5310 Geometric Folding Algorithms: Linkages, Origami, Polyhedra
",1.0,Fall 2023
Database Management,Students will learn how to design and manage databases.,COMPUTING IN LINGUISTICS,4.0,,Database design,Database design,"Although not explicitly mentioned in the course description, the implementation techniques and case studies in the course may involve the design and manipulation of databases.","6.1600 Foundations of Computer Security
",1.0,Fall 2023
Database Management,Students will learn how to design and manage databases.,COMPUTING IN LINGUISTICS,4.0,,Database design,Client-server design,"Students will learn techniques for designing and implementing client-server systems, which involves handling and manipulating data and communication between clients and servers.","6.1800 Computer Systems Engineering
",1.0,Fall 2023
Database Management,Students will learn how to design and manage databases.,COMPUTING IN LINGUISTICS,4.0,,Database design,Database search,Students will develop the skill of searching and retrieving information from biological databases.,"6.8701 Computational Biology: Genomes, Networks, Evolution
",1.0,Fall 2023
Database Management,Students will learn how to design and manage databases.,COMPUTING IN LINGUISTICS,4.0,,Database design,Data modeling,Students will learn how to manipulate and handle data in order to model and analyze synthetic biological systems.,"6.8720[J] Principles of Synthetic Biology
",1.0,Fall 2023
